Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2024,Level 1,99999,All industries,Dollars (millions),H01,Total income,Financial performance,979594,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,,99999,All industries,,H04,"Sales, government funding, grants and subsidies",Financial performance,,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,112188,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H07,Non-operating income,Financial performance,28781,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,,Dollars (millions),H08,Total expenditure,Financial performance,856960,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H09,Interest and donations,Financial performance,71493,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H10,Indirect taxes,Financial performance,8540,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H11,Depreciation,Financial performance,32896,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H12,Salaries and wages paid,Financial performance,157616,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H13,Redundancy and severance,Financial performance,323,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H14,Salaries and wages to self employed commission agents,Financial performance,1548,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,568850,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H20,Non-operating expenses,Financial performance,16016,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H21,Opening stocks,Financial performance,86685,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H22,Closing stocks,Financial performance,84990,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H23,Surplus before income tax,Financial performance,120939,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H24,Total assets,Financial position,2931807,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H25,Current assets,Financial position,911135,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H26,Fixed tangible assets,Financial position,719959,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H29,Other assets,Financial position,1300713,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H30,Total equity and liabilities,Financial position,2931807,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,1011581,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H32,Current liabilities,Financial position,1118376,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars (millions),H33,Other liabilities,Financial position,801850,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars,H34,Total income per employee count,Financial ratios,483100,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Dollars,H35,Surplus per employee count,Financial ratios,59600,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Percentage,H36,Current ratio,Financial ratios,81,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Percentage,H37,Quick ratio,Financial ratios,74,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2024,Level 1,99999,All industries,Percentage,H39,Return on equity,Financial ratios,12,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
